colour	x	y	group	showSelectedlegendcolour	PANEL
#7F7F7F	14	0.876020284581509	1	train	2
#7F7F7F	15	0.868855258237133	1	train	2
#7F7F7F	16	0.84743546199719	1	train	2
#7F7F7F	17	0.902582321871334	1	train	2
#7F7F7F	18	0.90814787761926	1	train	2
#7F7F7F	19	0.910096322283337	1	train	2
#7F7F7F	20	0.922652376734823	1	train	2
#7F7F7F	21	0.938920452204447	1	train	2
#7F7F7F	22	0.950231439643093	1	train	2
#7F7F7F	23	0.953934533046665	1	train	2
#7F7F7F	24	0.972219366998562	1	train	2
#7F7F7F	25	1.0094155175811	1	train	2
#7F7F7F	26	1.06331098984548	1	train	2
#7F7F7F	27	1.10388507620474	1	train	2
#7F7F7F	28	1.16679385969448	1	train	2
#7F7F7F	29	1.21162155160628	1	train	2
#7F7F7F	30	1.25658806391632	1	train	2
#7F7F7F	31	1.31198341390644	1	train	2
#7F7F7F	32	1.36474988929209	1	train	2
#7F7F7F	33	1.42977561915912	1	train	2
#7F7F7F	34	1.45494253240934	1	train	2
#7F7F7F	35	1.51886551711883	1	train	2
#7F7F7F	36	1.59671770646895	1	train	2
#7F7F7F	37	1.65139098383207	1	train	2
#7F7F7F	38	1.73852455139482	1	train	2
#7F7F7F	39	1.85579806134254	1	train	2
#7F7F7F	40	1.93514804837956	1	train	2
#7F7F7F	41	2.00091961922184	1	train	2
#7F7F7F	42	2.09585949150109	1	train	2
#7F7F7F	43	2.1	1	train	2
#7F7F7F	44	2.1	1	train	2
#7F7F7F	45	2.1	1	train	2
#7F7F7F	46	2.1	1	train	2
#7F7F7F	47	2.1	1	train	2
#7F7F7F	48	2.1	1	train	2
#7F7F7F	49	2.1	1	train	2
#7F7F7F	50	2.1	1	train	2
#000000	1	2.1	2	validation	2
#000000	2	2.1	2	validation	2
#000000	3	1.75905337769574	2	validation	2
#000000	4	1.77868623401934	2	validation	2
#000000	5	1.78109609976836	2	validation	2
#000000	6	1.64072813938217	2	validation	2
#000000	7	1.53194927596894	2	validation	2
#000000	8	1.46259975039188	2	validation	2
#000000	9	1.44389954312435	2	validation	2
#000000	10	1.39438109905493	2	validation	2
#000000	11	1.38858297134827	2	validation	2
#000000	12	1.39784108457694	2	validation	2
#000000	13	1.38996879088009	2	validation	2
#000000	14	1.36946907366612	2	validation	2
#000000	15	1.3860620826675	2	validation	2
#000000	16	1.37494411029167	2	validation	2
#000000	17	1.37310197944427	2	validation	2
#000000	18	1.37860627938185	2	validation	2
#000000	19	1.41626596243648	2	validation	2
#000000	20	1.40137106862384	2	validation	2
#000000	21	1.43976074036847	2	validation	2
#000000	22	1.44762959154178	2	validation	2
#000000	23	1.42290687610682	2	validation	2
#000000	24	1.42320895150354	2	validation	2
#000000	25	1.39212964256297	2	validation	2
#000000	26	1.41265731536364	2	validation	2
#000000	27	1.39165560609368	2	validation	2
#000000	28	1.43505441867048	2	validation	2
#000000	29	1.4442919679269	2	validation	2
#000000	30	1.48181106122385	2	validation	2
#000000	31	1.49559289150988	2	validation	2
#000000	32	1.52722428183437	2	validation	2
#000000	33	1.56565187327167	2	validation	2
#000000	34	1.57607482218577	2	validation	2
#000000	35	1.60118073549933	2	validation	2
#000000	36	1.65927002285884	2	validation	2
#000000	37	1.70160225437437	2	validation	2
#000000	38	1.72959093797805	2	validation	2
#000000	39	1.780790754836	2	validation	2
#000000	40	1.85038135044854	2	validation	2
