x	y	key	label	showSelected1	PANEL	group
50	0.3	neighbors	28 nearest neighbors	28	3	1
50	0.3	neighbors	29 nearest neighbors	29	3	1
50	0.3	neighbors	30 nearest neighbors	30	3	1
50	0.3	neighbors	31 nearest neighbors	31	3	1
50	0.3	neighbors	32 nearest neighbors	32	3	1
50	0.3	neighbors	33 nearest neighbors	33	3	1
50	0.3	neighbors	34 nearest neighbors	34	3	1
50	0.3	neighbors	35 nearest neighbors	35	3	1
50	0.3	neighbors	36 nearest neighbors	36	3	1
50	0.3	neighbors	37 nearest neighbors	37	3	1
50	0.3	neighbors	38 nearest neighbors	38	3	1
50	0.3	neighbors	39 nearest neighbors	39	3	1
50	0.3	neighbors	40 nearest neighbors	40	3	1
50	0.3	neighbors	41 nearest neighbors	41	3	1
50	0.3	neighbors	42 nearest neighbors	42	3	1
50	0.3	neighbors	43 nearest neighbors	43	3	1
50	0.3	neighbors	44 nearest neighbors	44	3	1
50	0.3	neighbors	45 nearest neighbors	45	3	1
50	0.3	neighbors	46 nearest neighbors	46	3	1
50	0.3	neighbors	47 nearest neighbors	47	3	1
50	0.3	neighbors	48 nearest neighbors	48	3	1
50	0.3	neighbors	49 nearest neighbors	49	3	1
50	0.3	neighbors	50 nearest neighbors	50	3	1
50	0.3	neighbors	1 nearest neighbor	1	4	1
50	0.3	neighbors	2 nearest neighbors	2	4	1
50	0.3	neighbors	3 nearest neighbors	3	4	1
50	0.3	neighbors	4 nearest neighbors	4	4	1
50	0.3	neighbors	5 nearest neighbors	5	4	1
50	0.3	neighbors	6 nearest neighbors	6	4	1
50	0.3	neighbors	7 nearest neighbors	7	4	1
50	0.3	neighbors	8 nearest neighbors	8	4	1
50	0.3	neighbors	9 nearest neighbors	9	4	1
50	0.3	neighbors	10 nearest neighbors	10	4	1
50	0.3	neighbors	11 nearest neighbors	11	4	1
50	0.3	neighbors	12 nearest neighbors	12	4	1
50	0.3	neighbors	13 nearest neighbors	13	4	1
50	0.3	neighbors	14 nearest neighbors	14	4	1
50	0.3	neighbors	15 nearest neighbors	15	4	1
50	0.3	neighbors	16 nearest neighbors	16	4	1
50	0.3	neighbors	17 nearest neighbors	17	4	1
50	0.3	neighbors	18 nearest neighbors	18	4	1
50	0.3	neighbors	19 nearest neighbors	19	4	1
50	0.3	neighbors	20 nearest neighbors	20	4	1
50	0.3	neighbors	21 nearest neighbors	21	4	1
50	0.3	neighbors	22 nearest neighbors	22	4	1
50	0.3	neighbors	23 nearest neighbors	23	4	1
50	0.3	neighbors	24 nearest neighbors	24	4	1
50	0.3	neighbors	25 nearest neighbors	25	4	1
50	0.3	neighbors	26 nearest neighbors	26	4	1
50	0.3	neighbors	27 nearest neighbors	27	4	1
50	0.3	neighbors	28 nearest neighbors	28	4	1
50	0.3	neighbors	29 nearest neighbors	29	4	1
50	0.3	neighbors	30 nearest neighbors	30	4	1
50	0.3	neighbors	31 nearest neighbors	31	4	1
50	0.3	neighbors	32 nearest neighbors	32	4	1
50	0.3	neighbors	33 nearest neighbors	33	4	1
50	0.3	neighbors	34 nearest neighbors	34	4	1
50	0.3	neighbors	35 nearest neighbors	35	4	1
50	0.3	neighbors	36 nearest neighbors	36	4	1
50	0.3	neighbors	37 nearest neighbors	37	4	1
50	0.3	neighbors	38 nearest neighbors	38	4	1
50	0.3	neighbors	39 nearest neighbors	39	4	1
50	0.3	neighbors	40 nearest neighbors	40	4	1
50	0.3	neighbors	41 nearest neighbors	41	4	1
50	0.3	neighbors	42 nearest neighbors	42	4	1
50	0.3	neighbors	43 nearest neighbors	43	4	1
50	0.3	neighbors	44 nearest neighbors	44	4	1
50	0.3	neighbors	45 nearest neighbors	45	4	1
50	0.3	neighbors	46 nearest neighbors	46	4	1
50	0.3	neighbors	47 nearest neighbors	47	4	1
50	0.3	neighbors	48 nearest neighbors	48	4	1
50	0.3	neighbors	49 nearest neighbors	49	4	1
50	0.3	neighbors	50 nearest neighbors	50	4	1
